t,scenario,C_base,S,C_hum,K_ck,M_r,P_u,R_a,M_medio_agentes
16.5,compartilhado,0.6161301633860723,0.3333333333333333,0.6994634967194057,4.5397868702434395e-05,0.0,1.0,0.0,0.9489747595680408
16.6,compartilhado,0.6191556594421761,0.3333333333333333,0.7024889927755095,4.5397868702434395e-05,0.0,1.0,0.0,0.9534269290858651
16.7,compartilhado,0.6185512984654706,0.3333333333333333,0.701884631798804,4.5397868702434395e-05,0.0,1.0,0.0,0.9578433500578094
16.8,compartilhado,0.6133345224331541,0.3333333333333333,0.6966678557664875,4.5397868702434395e-05,0.0,1.0,0.0,0.9622620804453764
16.900000000000002,compartilhado,0.6163306434750009,0.3333333333333333,0.6996639768083343,4.5397868702434395e-05,0.0,1.0,0.0,0.966717607984031
17.0,compartilhado,0.6166859602560222,0.3333333333333333,0.7000192935893556,4.5397868702434395e-05,0.0,1.0,0.0,0.9711796325993127
17.1,compartilhado,0.628001915085384,0.3333333333333333,0.7113352484187174,4.5397868702434395e-05,0.0,1.0,0.0,0.9756780323125485
17.2,compartilhado,0.631448296155684,0.3333333333333333,0.7147816294890174,4.5397868702434395e-05,0.0,1.0,0.0,0.9802165089950545
17.3,compartilhado,0.627605356989186,0.3333333333333333,0.7109386903225193,4.5397868702434395e-05,0.0,1.0,0.0,0.9847321352305742
17.400000000000002,compartilhado,0.6169532441095846,0.3333333333333333,0.700286577442918,4.5397868702434395e-05,0.0,1.0,0.0,0.9892102128223285
17.5,compartilhado,0.6051299898799659,0.3333333333333333,0.6884633232132993,4.5397868702434395e-05,0.0,1.0,0.0,0.9936812702972554
17.6,compartilhado,0.5957488440930728,0.3333333333333333,0.6790821774264062,4.5397868702434395e-05,0.0,1.0,0.0,0.9981145301337857
17.7,compartilhado,0.59890892174094,0.3333333333333333,0.6822422550742734,4.5397868702434395e-05,0.0,1.0,0.0,1.0025599518355626
17.8,compartilhado,0.6023786835136651,0.3333333333333333,0.6857120168469985,4.5397868702434395e-05,0.0,1.0,0.0,1.0069922630673112
17.900000000000002,compartilhado,0.600389918493488,0.3333333333333333,0.6837232518268214,4.5397868702434395e-05,0.0,1.0,0.0,1.011391564091554
18.0,compartilhado,0.6038770659602836,0.3333333333333333,0.6872103992936169,4.5397868702434395e-05,0.0,1.0,0.0,1.0157900921105871
18.1,compartilhado,0.6126692198440719,0.3333333333333333,0.6960025531774052,4.5397868702434395e-05,0.0,1.0,0.0,1.0202027200688992
18.2,compartilhado,0.625822455644052,0.3333333333333333,0.7091557889773854,4.5397868702434395e-05,0.0,1.0,0.0,1.0246242302037267
18.3,compartilhado,0.6384104793000465,0.3333333333333333,0.7217438126333798,4.5397868702434395e-05,0.0,1.0,0.0,1.0290545584722566
18.400000000000002,compartilhado,0.6477136266311532,0.3333333333333333,0.7310469599644865,4.5397868702434395e-05,0.0,1.0,0.0,1.03347235115164
18.5,compartilhado,0.6542577216682364,0.3333333333333333,0.7375910550015697,4.5397868702434395e-05,0.0,1.0,0.0,1.037873782022973
18.6,compartilhado,0.654603668534631,0.3333333333333333,0.7379370018679644,4.5397868702434395e-05,0.0,1.0,0.0,1.0422652697063732
18.7,compartilhado,0.6521773952975665,0.3333333333333333,0.7355107286308998,4.5397868702434395e-05,0.0,1.0,0.0,1.0466191953641435
18.8,compartilhado,0.6474055258847373,0.3333333333333333,0.7307388592180707,4.5397868702434395e-05,0.0,1.0,0.0,1.0509113506107417
18.900000000000002,compartilhado,0.6446424693766096,0.3333333333333333,0.727975802709943,4.5397868702434395e-05,0.0,1.0,0.0,1.0551712936506308
19.0,compartilhado,0.642918013502368,0.3333333333333333,0.7262513468357014,4.5397868702434395e-05,0.0,1.0,0.0,1.0593710474944955
19.1,compartilhado,0.6388896178796217,0.3333333333333333,0.7222229512129551,4.5397868702434395e-05,0.0,1.0,0.0,1.0635309110642583
19.200000000000003,compartilhado,0.6290169084704432,0.3333333333333333,0.7123502418037766,4.5397868702434395e-05,0.0,1.0,0.0,1.0676113498341906
19.3,compartilhado,0.6139596332984536,0.3333333333333333,0.697292966631787,4.5397868702434395e-05,0.0,1.0,0.0,1.0715740830741258
19.400000000000002,compartilhado,0.6142931950807735,0.3333333333333333,0.6976265284141069,4.5397868702434395e-05,0.0,1.0,0.0,1.0754586027250321
19.5,compartilhado,0.6214729058856031,0.3333333333333333,0.7048062392189365,4.5397868702434395e-05,0.0,1.0,0.0,1.0793051859976825
19.6,compartilhado,0.6216170606638963,0.3333333333333333,0.7049503939972297,4.5397868702434395e-05,0.0,1.0,0.0,1.0830918465728199
