trial,scenario,frac_arriscada,sucesso_coordenacao,payoff_medio,prob_media_arriscada,P_u_na_decisao,R_a_na_decisao,K_ck_na_decisao,M_medio_na_decisao
28,ratificado,0.875,True,1.875,0.7951803366871324,1.0,1.0,0.9999999999999065,1.8858398199293522
29,ratificado,0.875,True,1.875,0.8038034160658267,1.0,1.0,0.9999999999999065,1.8911603863079032
30,ratificado,0.625,True,1.625,0.8019452601605507,1.0,1.0,0.9999999999999065,1.8900120144771542
31,ratificado,0.75,True,1.75,0.795339732250159,1.0,1.0,0.9999999999999065,1.8858233765791632
32,ratificado,0.875,True,1.875,0.7986239571077669,1.0,1.0,0.9999999999999065,1.8878961330919786
33,ratificado,1.0,True,2.0,0.8038675107814407,1.0,1.0,0.9999999999999065,1.891130739801622
34,ratificado,0.625,True,1.625,0.7602978976863344,1.0,1.0,0.9999999999999065,1.8655166209619993
35,ratificado,0.875,True,1.875,0.7627969957154548,1.0,1.0,0.9999999999999065,1.866875054359812
36,ratificado,0.625,True,1.625,0.7457749397772795,1.0,1.0,0.9999999999999065,1.8576830711546126
37,ratificado,0.375,False,0.625,0.7751494474989092,1.0,1.0,0.9999999999999065,1.8739474343160745
38,ratificado,0.875,True,1.875,0.7617466054496927,1.0,1.0,0.9999999999999065,1.866397001098015
39,ratificado,0.375,False,0.625,0.7807217907318997,1.0,1.0,0.9999999999999065,1.8771466626275513
40,ratificado,0.625,True,1.625,0.791886474917526,1.0,1.0,0.9999999999999065,1.8837078234728806
41,ratificado,1.0,True,2.0,0.7920114792305616,1.0,1.0,0.9999999999999065,1.8837543112227806
42,ratificado,0.625,True,1.625,0.6916628246301979,1.0,1.0,0.9999999999999065,1.8308729887030668
43,ratificado,0.875,True,1.875,0.7887335713470833,1.0,1.0,0.9999999999999065,1.8819035159122617
44,ratificado,0.5,False,0.5,0.7784060641443656,1.0,1.0,0.9999999999999065,1.875746602436509
45,ratificado,0.75,True,1.75,0.7479119985773957,1.0,1.0,0.9999999999999065,1.8588776398291815
46,ratificado,0.75,True,1.75,0.7774523018499094,1.0,1.0,0.9999999999999065,1.8752025157693408
