variant,regime,run_id,C_idx_mean,Psi_eff_mean,B_mean,Q_mean,K_mean,R_mean,M_final,level_mode
full,deep_sleep,34,0.3542866135504523,0.20705753845625524,0.8302709611144025,0.45296133286935364,0.0024639737964782613,0.7985581326732434,0.14749168680082198,2
full,deep_sleep,35,0.3155972202240105,0.16625197064933006,0.7598475170228712,0.41901475131060956,0.0028511453816069936,0.7983021987779777,0.13066423444910508,2
full,deep_sleep,36,0.37001196676833253,0.2212994565554148,0.8696783617444892,0.46307803713506784,0.003391126995190894,0.7894370876539044,0.15421207584059354,2
full,deep_sleep,37,0.35291818671532044,0.190466996207213,0.8799994547141002,0.4398263940221613,0.003004228395754691,0.7990809974548235,0.13782011532175487,2
full,deep_sleep,38,0.35203781217111646,0.22184912874067617,0.7774328056331895,0.45631165204445484,0.0009863931953824566,0.7803093566290771,0.15373503875908476,2
full,deep_sleep,39,0.3579061665225126,0.21413263656479486,0.8346097832877617,0.45172244367676256,0.00936434511346373,0.7988149542927698,0.14870568254089497,2
full,anxiety,0,0.5651162622721226,0.32652320418042,0.8707575326415343,0.8798717503022859,0.06096110758331551,0.8120626342350991,1.737642118115871,4
full,anxiety,1,0.5404833719288598,0.28322768898539097,0.8483420974668292,0.8749484616833059,0.03451484679405402,0.7191291347917556,1.7252141278649382,3
full,anxiety,2,0.5063773850013302,0.19486170228266952,0.8943653822298713,0.8618824872889967,0.10325760142766306,0.7957903107159983,1.6814257648009023,3
full,anxiety,3,0.5280561768558845,0.2570089661039632,0.843117184167294,0.8756435894364855,0.04629426162036503,0.7411000917186853,1.7202190026145863,3
full,anxiety,4,0.4799200993942342,0.17151480623110918,0.8086972236502851,0.8592374779282964,0.05335523794375671,0.7742128828931482,1.6760502133685282,3
full,anxiety,5,0.5434606684865868,0.3042053748582357,0.8168327875348396,0.871652002807319,0.03450219888565793,0.796184642957185,1.7240008634196902,3
full,anxiety,6,0.5365113105733256,0.2749427010566073,0.8491220017834409,0.8726393379286075,0.02610393415068957,0.7713793122429451,1.7159613491298669,3
full,anxiety,7,0.5358504151328553,0.27287335268571106,0.852754098411737,0.8713839435827201,0.026846814521499028,0.7595877039263136,1.71896510909309,3
full,anxiety,8,0.5550775213659277,0.3128771959836535,0.8530520019239848,0.8763499855049668,0.06429839217864841,0.7940703964816278,1.7288169453313182,4
full,anxiety,9,0.5441280326489714,0.2886213708456398,0.8467952538833233,0.8806376706411305,0.050498359716042295,0.7576879180449906,1.7308434491734872,3
full,anxiety,10,0.5514505548566564,0.2903980154301174,0.8821834890088018,0.8813438648292712,0.03234588936302402,0.7889934354715993,1.7319882128596735,4
full,anxiety,11,0.5452827874531152,0.2946827178778681,0.8405099836775254,0.8790915799309174,0.019904807973793112,0.7742392198463851,1.7321208602704847,3
